1,2,7.194500177777778,360
1,3,6.500964775,240
2,1,7.194500177777778,360
2,6,1.37727248,300
3,1,6.500964775,240
3,4,4.752923255555556,240
3,12,6.500964775,240
4,3,4.752923255555556,240
4,5,4.939665027777777,120
4,11,1.363562980555556,360
5,4,4.939665027777777,120
5,6,1.374443185833333,240
5,9,2.777777777777778,300
6,2,1.37727248,300
6,5,1.374443185833333,240
6,8,1.360718790555556,120
7,8,2.178280919444445,180
7,18,6.500964775,120
8,6,1.360718790555556,120
8,7,2.178280919444445,180
8,9,1.402831432222222,600
8,16,1.401617384166667,300
9,5,2.777777777777778,300
9,8,1.402831432222222,600
9,10,3.865496783333334,180
10,9,3.865496783333334,180
10,11,2.777777777777778,300
10,15,3.753333763888889,360
10,16,1.348588254722222,240
10,17,1.387086303888889,480
11,4,1.363562980555556,360
11,10,2.777777777777778,300
11,12,1.363562980555556,360
11,14,1.354585635277778,240
12,3,6.500964775,240
12,11,1.363562980555556,360
12,13,7.194500177777778,180
13,12,7.194500177777778,180
13,24,1.41423782,240
14,11,1.354585635277778,240
14,15,1.424312810833333,300
14,23,1.367997390277778,240
15,10,3.753333763888889,360
15,14,1.424312810833333,300
15,19,4.045764763888889,180
15,22,2.666439045833334,180
16,8,1.401617384166667,300
16,10,1.348588254722222,240
16,17,1.452752795277778,120
16,18,5.466637975,180
17,10,1.387086303888889,480
17,16,1.452752795277778,120
17,19,1.339986341944444,120
18,7,6.500964775,120
18,16,5.466637975,180
18,20,6.500964775,240
19,15,4.045764763888889,180
19,17,1.339986341944444,120
19,20,1.389613211944444,240
20,18,6.500964775,240
20,19,1.389613211944444,240
20,21,1.405531205555556,360
20,22,1.409915886944444,300
21,20,1.405531205555556,360
21,22,1.452752795277778,120
21,24,1.357043767777778,180
22,15,2.666439045833334,180
22,20,1.409915886944444,300
22,21,1.452752795277778,120
22,23,1.388888888888889,240
23,14,1.367997390277778,240
23,22,1.388888888888889,240
23,24,1.410696787777778,120
24,13,1.41423782,240
24,21,1.357043767777778,180
24,23,1.410696787777778,120
